date,hour,prediction,real
42318.000,21.000,30.610,28.030
42318.000,22.000,29.315,24.210
42318.000,23.000,27.408,21.630
42319.000,0.000,23.671,21.030
42319.000,1.000,21.125,20.650
42319.000,2.000,20.224,20.550
42319.000,3.000,19.889,20.840
42319.000,4.000,20.573,23.930
42319.000,5.000,24.439,32.230
42319.000,6.000,32.075,36.050
42319.000,7.000,36.708,40.000
42319.000,8.000,37.353,35.880
42319.000,9.000,37.168,32.040
42319.000,10.000,36.856,48.710
42319.000,11.000,36.467,47.950
42319.000,12.000,35.810,41.700
42319.000,13.000,35.549,35.860
42319.000,14.000,35.363,35.830
42319.000,15.000,35.316,39.970
42319.000,16.000,36.038,53.420
42319.000,17.000,36.602,51.290
42319.000,18.000,36.047,51.280
42319.000,19.000,34.512,31.890
42319.000,20.000,32.590,24.900
42319.000,21.000,30.980,26.440
42319.000,22.000,29.726,23.620
42319.000,23.000,28.236,22.560
42320.000,0.000,27.283,21.620
42320.000,1.000,26.403,21.230
42320.000,2.000,25.630,21.060
42320.000,3.000,25.111,21.020
42320.000,4.000,25.737,22.990
42320.000,5.000,29.219,32.250
42320.000,6.000,33.037,35.970
42320.000,7.000,35.312,43.350
42320.000,8.000,35.593,45.040
42320.000,9.000,35.089,33.840
42320.000,10.000,34.685,35.920
42320.000,11.000,33.936,35.930
42320.000,12.000,32.897,35.230
42320.000,13.000,32.791,34.480
42320.000,14.000,32.564,34.910
42320.000,15.000,32.883,50.960
42320.000,16.000,33.974,51.490
42320.000,17.000,36.445,51.470
42320.000,18.000,36.132,51.450
42320.000,19.000,34.736,34.470
42320.000,20.000,33.017,26.100
42320.000,21.000,31.821,25.510
42320.000,22.000,30.558,24.050
42320.000,23.000,29.580,23.430
42321.000,0.000,25.750,23.050
42321.000,1.000,25.828,22.150
42321.000,2.000,26.227,21.890
42321.000,3.000,26.416,21.880
42321.000,4.000,27.043,22.270
42321.000,5.000,30.180,34.480
42321.000,6.000,34.366,50.100
42321.000,7.000,37.205,51.450
42321.000,8.000,37.314,39.780
42321.000,9.000,37.154,29.420
42321.000,10.000,36.872,35.980
42321.000,11.000,35.986,35.920
42321.000,12.000,34.155,34.470
42321.000,13.000,32.652,32.520
42321.000,14.000,31.457,34.410
