Date,Hour
42142,17
42142,18
42142,19
42142,20
42142,21
42142,22
42142,23
42143,0
42143,1
42143,2
42143,3
42143,4
42143,5
42143,6
42143,7
42143,8
42143,9
42143,10
42143,11
42143,12
42143,13
42143,14
42143,15
42143,16
42143,17
42143,18
42143,19
42143,20
42143,21
42143,22
42143,23
42144,0
42144,1
42144,2
42144,3
42144,4
42144,5
42144,6
42144,7
42144,8
42144,9
42144,10
42144,11
42144,12
42144,13
42144,14
42144,15
42144,16
42144,17
42144,18
42144,19
42144,20
42144,21
42144,22
42144,23
42145,0
42145,1
42145,2
42145,3
42145,4
42145,5
42145,6
42145,7
42145,8
42145,9
42145,10
42145,11
42145,12
42145,13
42145,14
42145,15
42145,16
42145,17
42145,18
42145,19
42145,20
42145,21
42145,22
42145,23
42146,0
42146,1
42146,2
42146,3
42146,4
42146,5
42146,6
42146,7
42146,8
42146,9
42146,10
42146,11
42146,12
42146,13
42146,14
42146,15
42146,16
42146,17
42146,18
42146,19
42146,20
42146,21
42146,22
42146,23
42147,0
42147,1
42147,2
42147,3
42147,4
42147,5
42147,6
42147,7
42147,8
42147,9
42147,10
42147,11
42147,12
42147,13
42147,14
42147,15
42147,16
42147,17
42147,18
42147,19
42147,20
42147,21
42147,22
42147,23
42148,0
42148,1
42148,2
42148,3
42148,4
42148,5
42148,6
42148,7
42148,8
42148,9
42148,10
42148,11
42148,12
42148,13
42148,14
42148,15
42148,16
42148,17
42148,18
42148,19
42148,20
42148,21
42148,22
42148,23
42149,0
42149,1
42149,2
42149,3
42149,4
42149,5
42149,6
42149,7
42149,8
42149,9
42149,10
42149,11
42149,12
42149,13
42149,14
42149,15
42149,16
42149,17
42149,18
42149,19
42149,20
42149,21
42149,22
42149,23
42150,0
42150,1
42150,2
42150,3
42150,4
42150,5
42150,6
42150,7
42150,8
42150,9
42150,10
42150,11
42150,12
42150,13
42150,14
42150,15
42150,16
42150,17
42150,18
42150,19
42150,20
42150,21
42150,22
42150,23
42151,0
42151,1
42151,2
42151,3
42151,4
42151,5
42151,6
42151,7
42151,8
42151,9
42151,10
42151,11
42151,12
42151,13
42151,14
42151,15
42151,16
42151,17
42151,18
42151,19
42151,20
42151,21
42151,22
42151,23
42152,0
42152,1
42152,2
42152,3
42152,4
42152,5
42152,6
42152,7
42152,8
42152,9
42152,10
42152,11
42152,12
42152,13
42152,14
42152,15
42152,16
42152,17
42152,18
42152,19
42152,20
42152,21
42152,22
42152,23
42153,0
42153,1
42153,2
42153,3
42153,4
42153,5
42153,6
42153,7
42153,8
42153,9
42153,10
42153,11
42153,12
42153,13
42153,14
42153,15
42153,16
42153,17
42153,18
42153,19
42153,20
42153,21
42153,22
42153,23
42154,0
42154,1
42154,2
42154,3
42154,4
42154,5
42154,6
42154,7
42154,8
42154,9
42154,10
42154,11
42154,12
42154,13
42154,14
42154,15
42154,16
42154,17
42154,18
42154,19
42154,20
42154,21
42154,22
42154,23
42155,0
42155,1
42155,2
42155,3
42155,4
42155,5
42155,6
42155,7
42155,8
42155,9
42155,10
42155,11
42155,12
42155,13
42155,14
42155,15
42155,16
42155,17
42155,18
42155,19
42155,20
42155,21
42155,22
42155,23
42156,0
42156,1
42156,2
42156,3
42156,4
42156,5
42156,6
42156,7
42156,8
42156,9
42156,10
42156,11
42156,12
42156,13
42156,14
42156,15
42156,16
42156,17
42156,18
42156,19
42156,20
42156,21
42156,22
42156,23
42157,0
42157,1
42157,2
42157,3
42157,4
42157,5
42157,6
42157,7
42157,8
42157,9
42157,10
42157,11
42157,12
42157,13
42157,14
42157,15
42157,16
42157,17
42157,18
42157,19
42157,20
42157,21
42157,22
42157,23
42158,0
42158,1
42158,2
42158,3
42158,4
42158,5
42158,6
42158,7
42158,8
42158,9
42158,10
42158,11
42158,12
42158,13
42158,14
42158,15
42158,16
42158,17
42158,18
42158,19
42158,20
42158,21
42158,22
42158,23
42159,0
42159,1
42159,2
42159,3
42159,4
42159,5
42159,6
42159,7
42159,8
42159,9
42159,10
42159,11
42159,12
42159,13
42159,14
42159,15
42159,16
42159,17
42159,18
42159,19
42159,20
42159,21
42159,22
42159,23
42160,0
42160,1
42160,2
42160,3
42160,4
42160,5
42160,6
42160,7
42160,8
42160,9
42160,10
42160,11
42160,12
42160,13
42160,14
42160,15
42160,16
42160,17
42160,18
42160,19
42160,20
42160,21
42160,22
42160,23
42161,0
42161,1
42161,2
42161,3
42161,4
42161,5
42161,6
42161,7
42161,8
42161,9
42161,10
42161,11
42161,12
42161,13
42161,14
42161,15
42161,16
42161,17
42161,18
42161,19
42161,20
42161,21
42161,22
42161,23
42162,0
42162,1
42162,2
42162,3
42162,4
42162,5
42162,6
42162,7
42162,8
42162,9
42162,10
42162,11
42162,12
42162,13
42162,14
42162,15
42162,16
42162,17
42162,18
42162,19
42162,20
42162,21
42162,22
42162,23
42163,0
42163,1
42163,2
42163,3
42163,4
42163,5
42163,6
42163,7
42163,8
42163,9
42163,10
42163,11
42163,12
42163,13
42163,14
42163,15
42163,16
42163,17
42163,18
42163,19
42163,20
42163,21
42163,22
42163,23
42164,0
42164,1
42164,2
42164,3
42164,4
42164,5
42164,6
42164,7
42164,8
42164,9
42164,10
42164,11
42164,12
42164,13
42164,14
42164,15
42164,16
42164,17
42164,18
42164,19
42164,20
42164,21
42164,22
42164,23
42165,0
42165,1
42165,2
42165,3
42165,4
42165,5
42165,6
42165,7
42165,8
42165,9
42165,10
42165,11
42165,12
42165,13
42165,14
42165,15
42165,16
42165,17
42165,18
42165,19
42165,20
42165,21
42165,22
42165,23
42166,0
42166,1
42166,2
42166,3
42166,4
42166,5
42166,6
42166,7
42166,8
42166,9
42166,10
42166,11
42166,12
42166,13
42166,14
42166,15
42166,16
42166,17
42166,18
42166,19
42166,20
42166,21
42166,22
42166,23
42167,0
42167,1
42167,2
42167,3
42167,4
42167,5
42167,6
42167,7
42167,8
42167,9
42167,10
42167,11
42167,12
42167,13
42167,14
42167,15
42167,16
42167,17
42167,18
42167,19
42167,20
42167,21
42167,22
