date,hour,prediction,real
42323.000,22.000,31.149,23.810
42323.000,23.000,29.160,23.340
42324.000,0.000,24.958,23.240
42324.000,1.000,22.646,22.440
42324.000,2.000,21.570,21.510
42324.000,3.000,22.203,20.900
42324.000,4.000,26.380,21.740
42324.000,5.000,31.602,34.490
42324.000,6.000,36.332,40.900
42324.000,7.000,39.520,36.060
42324.000,8.000,39.242,38.620
42324.000,9.000,38.906,34.420
42324.000,10.000,39.200,35.830
42324.000,11.000,39.007,35.830
42324.000,12.000,37.436,43.240
42324.000,13.000,37.262,35.870
42324.000,14.000,36.456,35.840
42324.000,15.000,36.203,53.070
42324.000,16.000,37.104,51.120
42324.000,17.000,38.782,38.500
42324.000,18.000,36.992,39.950
42324.000,19.000,33.604,30.000
42324.000,20.000,31.616,24.530
42324.000,21.000,31.063,24.230
42324.000,22.000,29.893,22.710
42324.000,23.000,26.954,21.320
42325.000,0.000,24.420,21.890
42325.000,1.000,22.008,21.520
42325.000,2.000,21.188,21.400
42325.000,3.000,22.066,21.370
42325.000,4.000,26.275,22.500
42325.000,5.000,30.657,30.720
42325.000,6.000,33.117,35.350
42325.000,7.000,38.064,35.550
42325.000,8.000,37.989,36.420
42325.000,9.000,38.117,29.900
42325.000,10.000,38.232,35.810
42325.000,11.000,38.046,35.820
42325.000,12.000,37.087,35.370
42325.000,13.000,37.062,35.820
42325.000,14.000,36.983,35.530
42325.000,15.000,36.943,40.970
42325.000,16.000,38.130,52.180
42325.000,17.000,40.981,43.680
42325.000,18.000,39.397,40.990
42325.000,19.000,36.737,34.410
42325.000,20.000,33.072,24.910
42325.000,21.000,32.433,24.540
42325.000,22.000,31.424,23.490
42325.000,23.000,29.848,21.900
42326.000,0.000,27.368,21.760
42326.000,1.000,25.689,21.380
42326.000,2.000,25.050,21.210
42326.000,3.000,25.632,21.450
42326.000,4.000,28.214,21.970
42326.000,5.000,31.626,29.770
42326.000,6.000,36.215,34.600
42326.000,7.000,39.192,36.030
42326.000,8.000,39.472,35.370
42326.000,9.000,39.155,29.940
42326.000,10.000,39.524,34.800
42326.000,11.000,38.700,34.910
42326.000,12.000,37.315,34.710
42326.000,13.000,38.164,34.480
42326.000,14.000,37.249,36.010
42326.000,15.000,37.032,45.060
42326.000,16.000,38.171,47.670
42326.000,17.000,41.438,43.090
42326.000,18.000,39.588,45.280
42326.000,19.000,37.109,36.090
42326.000,20.000,33.153,27.150
42326.000,21.000,32.205,27.850
42326.000,22.000,31.045,24.140
42326.000,23.000,29.055,22.010
42327.000,0.000,23.977,21.510
42327.000,1.000,21.548,21.090
42327.000,2.000,20.708,21.020
42327.000,3.000,21.388,21.280
42327.000,4.000,25.225,23.530
42327.000,5.000,30.943,34.500
42327.000,6.000,33.810,40.920
42327.000,7.000,37.383,52.260
42327.000,8.000,37.431,40.950
42327.000,9.000,37.407,28.800
42327.000,10.000,37.876,38.970
42327.000,11.000,37.610,48.070
42327.000,12.000,36.856,38.790
42327.000,13.000,37.424,36.070
42327.000,14.000,37.073,36.090
42327.000,15.000,36.837,52.280
42327.000,16.000,37.466,52.270
42327.000,17.000,40.264,49.920
42327.000,18.000,38.588,50.960
42327.000,19.000,36.904,36.040
42327.000,20.000,33.471,27.880
42327.000,21.000,32.712,27.890
42327.000,22.000,31.451,24.930
42327.000,23.000,29.567,23.100
42328.000,0.000,25.929,23.640
42328.000,1.000,23.263,23.710
42328.000,2.000,22.823,22.890
42328.000,3.000,23.673,23.250
42328.000,4.000,27.380,27.370
42328.000,5.000,31.547,36.100
42328.000,6.000,36.664,42.410
42328.000,7.000,39.726,40.930
42328.000,8.000,40.240,39.990
42328.000,9.000,40.059,34.460
42328.000,10.000,40.451,40.900
42328.000,11.000,39.934,36.080
42328.000,12.000,38.371,36.020
42328.000,13.000,37.798,36.020
42328.000,14.000,37.228,36.070
42328.000,15.000,36.738,52.270
42328.000,16.000,37.717,52.270
42328.000,17.000,38.887,40.950
42328.000,18.000,37.278,40.450
42328.000,19.000,33.752,34.450
42328.000,20.000,32.064,26.400
42328.000,21.000,31.729,25.080
42328.000,22.000,30.622,24.670
42328.000,23.000,28.466,24.140
42329.000,0.000,24.571,24.330
42329.000,1.000,22.185,23.970
42329.000,2.000,20.762,23.040
42329.000,3.000,20.366,22.380
42329.000,4.000,21.797,22.250
42329.000,5.000,24.897,22.610
42329.000,6.000,27.120,23.180
42329.000,7.000,30.683,24.490
42329.000,8.000,31.502,24.970
42329.000,9.000,32.180,25.220
42329.000,10.000,32.501,25.400
42329.000,11.000,32.442,25.400
42329.000,12.000,32.101,25.320
42329.000,13.000,31.913,25.190
42329.000,14.000,32.376,25.250
42329.000,15.000,33.706,32.930
42329.000,16.000,36.506,34.430
42329.000,17.000,37.606,31.840
42329.000,18.000,36.113,29.100
42329.000,19.000,33.180,26.000
42329.000,20.000,32.058,25.470
42329.000,21.000,31.783,25.300
42329.000,22.000,30.847,24.930
42329.000,23.000,29.225,24.350
42330.000,0.000,25.831,24.460
42330.000,1.000,23.127,23.930
42330.000,2.000,21.687,23.870
42330.000,3.000,20.934,22.700
42330.000,4.000,21.302,22.350
42330.000,5.000,23.214,22.590
42330.000,6.000,24.442,22.670
42330.000,7.000,26.317,22.870
42330.000,8.000,27.770,23.150
42330.000,9.000,28.926,24.020
42330.000,10.000,29.569,24.770
42330.000,11.000,29.899,24.890
42330.000,12.000,29.727,24.790
42330.000,13.000,29.650,24.070
42330.000,14.000,30.331,23.870
42330.000,15.000,31.347,28.500
42330.000,16.000,32.587,30.310
42330.000,17.000,33.093,28.270
42330.000,18.000,32.716,26.490
42330.000,19.000,31.669,25.910
42330.000,20.000,30.604,25.390
42330.000,21.000,30.798,25.180
42330.000,22.000,30.149,24.930
42330.000,23.000,28.995,24.570
42331.000,0.000,27.993,24.000
42331.000,1.000,27.192,24.520
42331.000,2.000,26.916,24.730
42331.000,3.000,27.398,25.020
42331.000,4.000,29.031,26.030
42331.000,5.000,31.766,51.540
42331.000,6.000,38.491,51.560
42331.000,7.000,43.143,89.760
42331.000,8.000,44.467,150.030
42331.000,9.000,43.200,69.870
42331.000,10.000,43.143,99.920
42331.000,11.000,42.638,65.070
42331.000,12.000,41.168,56.490
42331.000,13.000,41.062,55.070
42331.000,14.000,41.082,60.040
42331.000,15.000,41.376,99.950
42331.000,16.000,42.020,150.060
42331.000,17.000,43.583,150.050
42331.000,18.000,40.689,77.480
42331.000,19.000,37.554,51.910
42331.000,20.000,32.900,40.130
42331.000,21.000,31.630,27.340
42331.000,22.000,29.933,25.170
42331.000,23.000,28.447,24.350
42332.000,0.000,27.590,23.940
42332.000,1.000,26.414,23.560
42332.000,2.000,25.608,23.240
42332.000,3.000,25.508,23.260
42332.000,4.000,26.677,23.690
42332.000,5.000,29.140,34.480
42332.000,6.000,31.618,41.960
42332.000,7.000,33.554,59.030
42332.000,8.000,33.859,59.010
42332.000,9.000,32.929,34.460
42332.000,10.000,33.381,56.850
42332.000,11.000,33.155,41.930
42332.000,12.000,32.342,38.940
42332.000,13.000,32.809,38.910
42332.000,14.000,32.716,44.360
42332.000,15.000,32.760,58.010
42332.000,16.000,33.185,58.010
42332.000,17.000,34.880,35.970
42332.000,18.000,33.158,35.070
42332.000,19.000,32.065,31.840
42332.000,20.000,30.768,25.270
42332.000,21.000,30.244,24.860
42332.000,22.000,29.237,24.260
42332.000,23.000,27.733,23.660
42333.000,0.000,27.429,23.710
42333.000,1.000,25.585,23.190
42333.000,2.000,24.983,23.120
42333.000,3.000,25.836,23.530
42333.000,4.000,28.402,24.320
42333.000,5.000,31.327,28.170
42333.000,6.000,34.832,32.970
42333.000,7.000,39.455,34.500
42333.000,8.000,39.772,38.010
42333.000,9.000,38.712,34.410
42333.000,10.000,39.379,36.870
42333.000,11.000,39.534,36.900
42333.000,12.000,38.837,36.050
42333.000,13.000,39.700,36.030
42333.000,14.000,38.977,36.090
42333.000,15.000,38.270,38.990
42333.000,16.000,39.334,50.350
42333.000,17.000,41.759,52.490
42333.000,18.000,40.440,44.640
42333.000,19.000,38.262,32.310
42333.000,20.000,34.585,27.720
42333.000,21.000,32.667,26.280
42333.000,22.000,31.019,25.390
42333.000,23.000,28.037,24.380
42334.000,0.000,25.146,23.440
42334.000,1.000,23.219,23.170
42334.000,2.000,22.636,23.050
42334.000,3.000,23.316,23.180
42334.000,4.000,26.559,23.630
42334.000,5.000,30.572,24.790
42334.000,6.000,34.274,30.930
42334.000,7.000,38.829,44.540
42334.000,8.000,38.984,44.100
42334.000,9.000,37.591,33.140
42334.000,10.000,37.428,37.230
42334.000,11.000,37.293,37.170
42334.000,12.000,36.351,34.470
42334.000,13.000,36.199,34.420
42334.000,14.000,36.200,34.470
42334.000,15.000,36.249,51.950
42334.000,16.000,36.990,56.680
42334.000,17.000,37.578,58.030
42334.000,18.000,35.374,41.990
42334.000,19.000,32.452,28.970
42334.000,20.000,30.393,25.400
42334.000,21.000,29.349,24.580
42334.000,22.000,27.656,23.550
42334.000,23.000,25.130,22.810
42335.000,0.000,22.415,21.670
42335.000,1.000,20.222,20.910
42335.000,2.000,19.619,20.250
42335.000,3.000,19.976,20.380
42335.000,4.000,22.873,21.070
42335.000,5.000,28.106,25.570
42335.000,6.000,31.812,30.940
42335.000,7.000,36.439,55.080
42335.000,8.000,35.270,41.910
42335.000,9.000,33.529,28.530
42335.000,10.000,33.824,35.930
42335.000,11.000,33.302,35.330
42335.000,12.000,32.259,34.500
42335.000,13.000,31.952,34.460
42335.000,14.000,31.881,34.470
42335.000,15.000,31.844,50.070
42335.000,16.000,32.772,50.010
42335.000,17.000,33.507,42.000
42335.000,18.000,31.916,35.310
42335.000,19.000,30.751,24.700
42335.000,20.000,29.473,22.430
42335.000,21.000,28.870,22.100
42335.000,22.000,27.096,20.950
42335.000,23.000,22.982,19.730
42336.000,0.000,18.196,18.340
42336.000,1.000,16.206,17.280
42336.000,2.000,15.758,16.900
42336.000,3.000,16.115,16.930
42336.000,4.000,17.893,17.520
42336.000,5.000,21.048,18.760
42336.000,6.000,23.694,19.610
42336.000,7.000,26.680,20.670
42336.000,8.000,28.138,21.480
42336.000,9.000,29.208,21.850
42336.000,10.000,29.518,22.090
42336.000,11.000,29.512,22.140
42336.000,12.000,29.359,22.130
42336.000,13.000,29.369,22.090
42336.000,14.000,30.069,22.150
42336.000,15.000,31.083,22.420
42336.000,16.000,31.976,23.110
42336.000,17.000,32.881,23.370
42336.000,18.000,32.076,22.910
42336.000,19.000,30.481,22.260
42336.000,20.000,28.812,21.860
42336.000,21.000,28.556,21.020
42336.000,22.000,26.815,20.220
42336.000,23.000,23.212,19.250
42337.000,0.000,19.539,19.570
42337.000,1.000,17.112,18.870
42337.000,2.000,15.741,18.070
42337.000,3.000,15.261,17.440
42337.000,4.000,14.982,17.020
42337.000,5.000,16.238,17.570
42337.000,6.000,17.023,18.300
42337.000,7.000,19.035,18.350
42337.000,8.000,20.250,18.870
42337.000,9.000,22.176,19.640
42337.000,10.000,24.344,20.380
42337.000,11.000,25.196,20.760
42337.000,12.000,24.547,20.790
42337.000,13.000,25.242,20.380
42337.000,14.000,26.912,20.500
42337.000,15.000,28.534,21.100
42337.000,16.000,29.456,21.580
42337.000,17.000,30.268,21.840
42337.000,18.000,30.212,21.750
42337.000,19.000,29.433,21.380
42337.000,20.000,27.775,20.970
42337.000,21.000,27.997,20.760
42337.000,22.000,26.733,20.110
42337.000,23.000,24.186,19.460
42338.000,0.000,19.573,19.220
42338.000,1.000,18.529,17.870
42338.000,2.000,17.988,16.960
42338.000,3.000,18.501,19.580
42338.000,4.000,21.964,20.410
42338.000,5.000,27.215,21.270
42338.000,6.000,30.321,30.590
42338.000,7.000,32.317,34.450
42338.000,8.000,32.549,34.420
42338.000,9.000,31.982,23.810
42338.000,10.000,31.679,32.200
42338.000,11.000,31.471,33.900
42338.000,12.000,31.702,34.400
42338.000,13.000,32.150,34.000
42338.000,14.000,32.549,34.480
42338.000,15.000,32.489,55.080
42338.000,16.000,34.442,55.080
42338.000,17.000,37.691,55.030
42338.000,18.000,36.631,36.450
42338.000,19.000,33.085,28.160
42338.000,20.000,31.244,23.760
42338.000,21.000,30.709,23.430
42338.000,22.000,29.555,22.670
42338.000,23.000,26.514,20.870
42339.000,0.000,21.561,20.620
42339.000,1.000,19.701,19.300
42339.000,2.000,18.323,18.960
42339.000,3.000,18.602,19.250
42339.000,4.000,21.500,20.480
